,영화명,감독,배급사,개봉일,국적,스크린수,매출액,관객수,장르,등급,연도
146,분신사바,안병기,브에나비스타인터내셔널코리아,2004.8.5,한국,0,0,"1,001,125",공포(호러),15세관람가,2004
147,신부수업,허인무,코리아픽쳐스(주),2004.8.5,한국,0,0,"1,242,476",드라마,12세관람가,2004
148,나에게 유일한,가브리엘 무치노,(주)동숭아트센터,2004.8.6,이탈리아,0,0,"2,545",코미디,15세관람가,2004
149,망치,안태근,스폰지,2004.8.6,한국,0,0,"47,502",애니메이션,전체관람가,2004
150,모두 하고 있습니까?,기타노 다케시,"(주)영화사 진진,(주)스폰지이엔티",2004.8.6,일본,0,0,"2,128",코미디,18세관람가,2004
151,아임 낫 스케어드,가브리엘 살바토레,(주)씨네진,2004.8.6,스페인,0,0,"24,136",드라마,12세관람가,2004
152,얼굴 없는 미녀,김인식,"CJ ENM,아이러브시네마",2004.8.6,한국,0,0,"520,753",스릴러,18세관람가,2004
153,카우 삼총사,"윌 핀,존 샌포드",한국소니픽쳐스릴리징브에나비스타영화㈜,2004.8.6,미국,0,0,"14,396",애니메이션,전체관람가,2004
154,바람의 파이터,양윤호,영화사청어람(주),2004.8.12,한국,0,0,"2,346,446",액션,12세관람가,2004
155,그 여름 가장 조용한 바다,기타노 다케시,"(주)영화사 진진,(주)스폰지이엔티",2004.8.13,일본,0,0,"2,657",드라마,12세관람가,2004
156,리딕 - 헬리온 최후의 빛,데이빗 토히,CJ ENM,2004.8.13,미국,0,0,"427,154",SF,12세관람가,2004
157,시실리 2km,신정원,(주)쇼박스,2004.8.13,한국,0,0,"1,987,380",코미디,15세관람가,2004
158,가필드,피터 휴잇,이십세기폭스필름코퍼레이션,2004.8.19,미국,0,0,"330,380",코미디,전체관람가,2004
159,본 슈프리머시,폴 그린그래스,UIP코리아,2004.8.20,미국,0,0,"620,000",액션,15세관람가,2004
160,쓰리 몬스터,"박찬욱,미이케 다카시,프루트 챈",CJ ENM,2004.8.20,한국,0,0,"281,540",공포(호러),18세관람가,2004
161,알포인트,공수창,(주)시네마서비스,2004.8.20,한국,0,0,"1,689,000",전쟁,15세관람가,2004
162,팻 걸,까트린느 브레이야,㈜영화사 백두대간,2004.8.20,프랑스,0,0,"18,351",드라마,18세관람가,2004
163,헬보이,길예르모 델 토로,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.8.20,미국,0,0,"205,284",SF,15세관람가,2004
164,3-4X10월,기타노 다케시,(주)스폰지이엔티,2004.8.20,일본,0,0,"1,426",코미디,18세관람가,2004
165,셧업,프랑시스 베베르,쇼이스트(주),2004.8.27,프랑스,0,0,"25,000",코미디,15세관람가,2004
166,엘리펀트,구스 반 산트,(주)동숭아트센터,2004.8.27,미국,0,0,"12,812",범죄,18세관람가,2004
167,터미널,스티븐 스필버그,CJ ENM,2004.8.27,미국,0,0,"1,335,571",드라마,전체관람가,2004
168,프레디 대 제이슨-13일의 금요일11,우인태,(주)영화사한결,2004.8.27,미국,0,0,"63,638",공포(호러),18세관람가,2004
169,가족,이정철,(주)튜브엔터테인먼트,2004.9.3,한국,0,0,"1,932,304",드라마,15세관람가,2004
170,갓센드,닉 햄,(주)시네마서비스,2004.9.3,미국,0,0,"54,100",공포(호러),15세관람가,2004
171,거미숲,송일곤,영화사청어람(주),2004.9.3,한국,0,0,"83,411",미스터리,18세관람가,2004
172,돈 텔 파파,이상훈,CJ ENM,2004.9.3,한국,0,0,"880,744",코미디,15세관람가,2004
173,맥덜,원건도,(주)스폰지이엔티,2004.9.3,홍콩,0,0,"2,807",애니메이션,전체관람가,2004
174,에이리언 VS 프레데터,폴 W.S. 앤더슨,이십세기폭스필름코퍼레이션,2004.9.3,미국,0,0,"304,360",SF,15세관람가,2004
175,진주 귀걸이를 한 소녀,피터 웨버,"(주)영화사 진진,필름뱅크(주)",2004.9.3,영국,0,0,"95,000",드라마,"15세관람가,15세이상관람가",2004
176,퀸카로 살아남는 법,마크 S. 워터스,UIP코리아,2004.9.3,미국,0,0,"153,000",코미디,15세관람가,2004
177,도마 안중근,서세원,(주)소스원프로덕션,2004.9.10,한국,0,0,"50,000",드라마,전체관람가,2004
178,베른의 기적,손케 보르트만,"무비즈엔터테인먼트㈜,팝엔터테인먼트",2004.9.10,독일,0,0,"3,631",드라마,전체관람가,2004
179,시크릿 윈도우,데이빗 코엡,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.9.10,미국,0,0,535,공포(호러),15세관람가,2004
180,연인,장예모,쇼이스트(주),2004.9.10,중국,0,0,"1,416,000",멜로/로맨스,12세관람가,2004
181,워킹 톨,케빈 브레이,이십세기폭스필름코퍼레이션,2004.9.10,미국,0,0,"1,570",액션,15세관람가,2004
182,지옥갑자원,야마구치 유다이,(주)영화사한결,2004.9.10,일본,0,0,280,코미디,15세관람가,2004
183,카란디루,헥터 바벤코,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.9.10,아르헨티나,0,0,"1,387",드라마,15세관람가,2004
184,퍼니셔,조나단 헨스라이,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.9.10,미국,0,0,"11,645",액션,18세관람가,2004
185,호텔 비너스,다카하타 히데타,CJ ENM,2004.9.10,일본,0,0,"4,358",드라마,12세관람가,2004
186,섹스 이즈 코메디,까트린느 브레이야,㈜영화사 백두대간,2004.9.16,프랑스,0,0,"4,702",코미디,18세관람가,2004
187,귀신이 산다,김상진,(주)시네마서비스,2004.9.17,한국,0,0,"2,890,000",코미디,12세관람가,2004
188,나쁜 교육,페드로 알모도바르,"(주)스폰지이엔티,(주)홈초이스",2004.9.17,스페인,0,0,"21,586",드라마,18세관람가,2004
189,슈퍼스타 감사용,김종현,CJ ENM,2004.9.17,한국,0,0,"834,706",드라마,전체관람가,2004
190,80일간의 세계 일주,프랑코 코라시,(주)쇼박스,2004.9.17,미국,0,0,"721,858",코미디,,2004
191,꽃피는 봄이 오면,류장하,영화사청어람(주),2004.9.23,한국,0,0,"717,618",드라마,12세관람가,2004
192,노 브레인 레이스,제리 주커,롯데쇼핑㈜롯데시네마,2004.9.24,미국,0,0,"81,423",코미디,12세관람가,2004
193,맨 온 파이어,토니 스콧,이십세기폭스필름코퍼레이션,2004.9.24,미국,0,0,"480,040",액션,15세관람가,2004
194,빌리지,M. 나이트 샤말란,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.9.24,미국,0,0,"542,950",공포(호러),12세관람가,2004
195,카르멘,빈센트 아란다,필름뱅크(주),2004.9.24,스페인,0,0,170,드라마,18세관람가,2004
196,캣우먼,피토프,워너브러더스 코리아(주),2004.9.24,미국,0,0,"267,300",액션,12세관람가,2004
197,스텝포드 와이프,프랭크 오즈,CJ ENM,2004.10.1,미국,0,0,"198,111",코미디,15세관람가,2004
198,세상의 중심에서 사랑을 외치다,유키사다 이사오,(주)동아수출공사,2004.10.8,일본,0,0,"428,202",멜로/로맨스,12세관람가,2004
199,우리 형,안권태,CJ ENM,2004.10.8,한국,0,0,"2,479,585",드라마,15세관람가,2004
200,웨일 라이더,니키 카로,무비즈엔터테인먼트㈜,2004.10.8,뉴질랜드,0,0,"18,723",드라마,전체관람가,2004
201,이노센스,오시이 마모루,(주)시네마서비스,2004.10.8,일본,0,0,"31,249",애니메이션,12세관람가,2004
202,빈집,김기덕,영화사청어람(주),2004.10.15,한국,0,0,"94,928",드라마,15세관람가,2004
203,아저씨 우리 결혼할까요?,완세생,씨네파크,2004.10.15,홍콩,0,0,"17,362",코미디,12세관람가,2004
204,콜래트럴,마이클 만,UIP코리아,2004.10.15,미국,0,0,"814,000",액션,15세관람가,2004
205,2046,왕가위,"(주)디스테이션,이십세기폭스필름코퍼레이션",2004.10.15,홍콩,0,0,"149,700",드라마,"18세관람가,청소년관람불가",2004
206,강호,황정보,쇼이스트(주),2004.10.22,홍콩,0,0,"18,800",액션,18세관람가,2004
207,비포 선셋,리차드 링클레이터,"THE 픽쳐스,워너브러더스 코리아(주)",2004.10.22,미국,0,0,"145,300",드라마,"15세관람가,15세이상관람가",2004
208,썸,장윤현,(주)시네마서비스,2004.10.22,한국,0,0,"346,000",스릴러,15세관람가,2004
209,20 30 40,장애가,한국소니픽쳐스릴리징브에나비스타영화㈜,2004.10.22,대만,0,0,"1,428",코미디,15세관람가,2004
210,S 다이어리,권종관,"CJ ENM,아이러브시네마",2004.10.22,한국,0,0,"1,531,840",코미디,15세관람가,2004
